features,condition,is_fault
"[-0.11496499 -0.12396604 -0.08362699 ...  0.26135277  0.1934827
  0.12387214]",Ball_007,1
"[ 0.08827175  0.08977205  0.09313945 ... -0.66320764 -0.38000251
  0.00309438]",Ball_007,1
"[ 0.40236262  0.70124939  0.86812985 ... -0.53066752 -0.59430512
 -0.54252537]",Ball_007,1
"[-0.41627522 -0.259388   -0.08734855 ... -0.004641   -0.00508722
 -0.00348358]",Ball_007,1
"[-0.03063887 -0.09093833 -0.14828496 ... -0.00555454  0.00879952
 -0.0025442 ]",Ball_007,1
"[-0.06664245 -0.14802834 -0.19573322 ...  0.11738354  0.10136963
  0.04210037]",Ball_007,1
"[-0.0287438  -0.08857937 -0.1096757  ...  0.88380935  0.70863873
  0.39974573]",Ball_007,1
"[ 0.04705486 -0.29901311 -0.58042554 ...  0.08630781 -0.06386901
 -0.23893196]",Ball_007,1
"[-0.35182699 -0.41365903 -0.4148394  ...  0.22205079  0.08007693
 -0.05189021]",Ball_007,1
"[-0.16044437 -0.24003458 -0.2887656  ...  0.51727568  0.5744084
  0.56234764]",Ball_007,1
"[ 0.46111088  0.25444919 -0.01524566 ... -0.25875217 -0.29529319
 -0.25021137]",Ball_007,1
"[-0.17607954 -0.09895835 -0.03943471 ... -0.09010418 -0.24623367
 -0.37381856]",Ball_007,1
"[-0.46460004 -0.49813378 -0.44367092 ...  0.41764057  0.28049945
  0.08439759]",Ball_007,1
"[-0.13012554 -0.31081922 -0.41111561 ...  0.40576673  0.47257085
  0.44484535]",Ball_007,1
"[ 0.3293985   0.15865912 -0.02966611 ... -0.26742752 -0.35453203
 -0.41986433]",Ball_007,1
"[-0.43616833 -0.37968819 -0.26131657 ...  0.0058702   0.02685072
  0.04210037]",Ball_007,1
"[ 0.08163844  0.12232706  0.13500648 ... -0.39357066 -0.3448142
 -0.23705094]",Ball_007,1
"[-0.05100955  0.141201    0.27874488 ...  0.1448051  -0.02961818
 -0.18441595]",Ball_007,1
"[-0.30540974 -0.42356531 -0.50320701 ...  0.55291912  0.6841001
  0.75642017]",Ball_007,1
[0.70650466 0.51630961 0.24293403 ... 0.21747214 0.37860962 0.44108329],Ball_007,1
"[ 0.37393091  0.20724737  0.00196673 ... -0.02612082 -0.10043513
 -0.16796878]",Ball_007,1
"[-0.18128899 -0.11924812  0.00661813 ...  0.11692786  0.09905554
  0.06418837]",Ball_007,1
"[ 0.02668486 -0.00978399 -0.01989746 ...  0.11144223  0.16662998
  0.19624554]",Ball_007,1
"[ 0.2275485   0.25727632  0.28804321 ...  0.26774975  0.13932242
 -0.00160481]",Ball_007,1
"[-0.11259644 -0.21408601 -0.31389563 ... -0.04165978  0.03842115
  0.13468073]",Ball_007,1
"[ 0.22234813  0.26010346  0.22663408 ... -0.16414262 -0.07312536
  0.06465919]",Ball_007,1
"[ 0.17449339  0.25632641  0.29689558 ... -0.19201986 -0.22309059
 -0.20180475]",Ball_007,1
"[-0.15618188 -0.0928246  -0.02129299 ... -0.05491336  0.08285472
  0.20565068]",Ball_007,1
[0.29008917 0.34645543 0.38992351 ... 0.31117033 0.26567865 0.14079013],Ball_007,1
"[-0.01405787 -0.17916978 -0.26829589 ...  0.45010742  0.41887872
  0.32502274]",Ball_007,1
"[ 0.21664817  0.10298268 -0.00175572 ...  0.0342053  -0.19670823
 -0.42596922]",Ball_007,1
"[-0.57971211 -0.62173606 -0.56646689 ...  0.59498143  0.50405396
  0.38235467]",Ball_007,1
"[ 0.23797195  0.09307414 -0.0654852  ...  0.27550499  0.25365338
  0.21646377]",Ball_007,1
"[ 0.1683347   0.08599726 -0.03338745 ...  0.06939744  0.0865577
  0.09144638]",Ball_007,1
"[ 0.06553092 -0.00553741 -0.09478944 ...  0.1073302   0.1971879
  0.27942752]",Ball_007,1
"[ 0.32135951  0.32049103  0.29642732 ... -0.55717554 -0.65307803
 -0.68726315]",Ball_007,1
"[-0.64129901 -0.51464424 -0.28738311 ... -0.56587281 -0.49477499
 -0.35877034]",Ball_007,1
"[-0.16944623  0.05296955  0.26014821 ... -0.10564314 -0.28140424
 -0.41610227]",Ball_007,1
"[-0.47168526 -0.43914847 -0.30829879 ...  0.47431516  0.54569864
  0.5566933 ]",Ball_007,1
"[ 0.53500607  0.48374103  0.34851582 ... -0.18196653 -0.13422345
 -0.08102699]",Ball_007,1
